what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020566492
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020583166
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020583307
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310020595730
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310020597559
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1310020604919
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310020606888
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020621030
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020621234
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020632485
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020632657
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1310020693979
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1310020698995
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310020967883
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020981643
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310020994310
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1310021008586
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1310021212395
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310021351938
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310021603990
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310023281528
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310026980573
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310027011998
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1310027367797
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1310027371938
